Movie,Years,Duration,Genre,Rating,,Actor_1,Actor_2,Actor_3,Actor_4
A Mistake (Ek Galti),2021,,Thriller,,,Chand Mehta,Hrishitaa Bhatt,Gulshan Pandey,Jimmy Shergil
A Separate Sky,2021,,Drama,,,Raajhorshee De,Sayan Chakraborty,Sudiptaa Chakraborty,Ranita Das
A Thursday,2021,,"Drama, Thriller",,,Behzad Khambata,Dimple Kapadia,Yami Gautam,Neha Dhupia
Aa Bhi Ja O Piya,2021,140 min,"Family, Romance",,,Rajesh Harivansh Mishra,Abhijeet Lahiri,Akanksha Sinha,Mukul Nag
Aafat-e-Ishq,2021,,"Comedy, Thriller",,,Indrajit Nattoji,Amit Sial,Neha Sharma,Garima Jain
Aafreen,2021,,Romance,,,Manjeet Rai,Chitransh Raaj,Prishita Tiwari,Sapna Shetty
Aankh Micholi,2021,,"Comedy, Family",,,Umesh Shukla,Paresh Rawal,Sharman Joshi,Abhimanyu Dasani
Aankhen 2,2021,,Thriller,,,Abhinay Deo,Amitabh Bachchan,Sidharth Malhotra,
Aao Khelein Gilli Danda,2021,,Drama,,,Faheem Chaudhry,Sonal Jha,Omkar Das Manikpuri,Rajesh Jais
Aavartan,2021,116 min,Musical,,,Durba Sahay,Sushma Seth,Shovana Narayan,Sunit Razdan
Aayaam,2021,,Drama,,,Mihir Kumar Sharma,Deepak Singh,Deeksha Panth,Chirag Dave
Ab Ye Galtiyan Na Ho,2021,,Romance,,,Masum Ali Khan,Karamveer Choudhary,Subeer Kasali,
Ae Kaash Ke Hum,2021,,Romance,,,Vishal Mishra,Vivaan Shah,Priya Singh,Sophia Singh
Afra Tafri,2021,,Comedy,,,Hadi Abrar,Govinda,Sunil Shetty,Gulshan Grover
Aham Brahmasmi,2021,106 min,Action,,,Megastar Maharishi Aazaad,,,
Ajayante Randam Moshanam,2021,,"Adventure, Comedy, Drama",,,Jithin Lal,Tovino Thomas,,
Ajeeb Daastaans,2021,142 min,"Drama, Romance",6.7,"4,133",Neeraj Ghaywan,Kayoze Irani,Shashank Khaitan,Raj Mehta
All in a Night,2021,,Thriller,,,Sanjay Raj,Richa Singh Chauhan,Lovekush,Suraj Gupta
Alpha Beta Gamma,2021,124 min,"Comedy, Drama",,,Shankar Sri Kumar,Amit Kumar Vashisth,Reena Aggarwal,Nishan
Amangal,2021,,Drama,,,Avinash Dhyani,Avinash Dhyani,Suruchi Saklani,Sanskriti Bhatt
Ammaa Ki Boli,2021,117 min,"Comedy, Drama",8.1,871,Narayan Chauhan,Sanjay Mishra,Hrishitaa Bhatt,Master Aniket
Amriki Pandit,2021,,Drama,,,Kalpesh Garg,Madhavan,Manju Warrier,Deepti Sati
Anaamika,2021,,Horror,,,Vineet Rane,Ejaz Ahmed,Priya Sharma,Shagun Sharma
Anek,2021,,,,,Anubhav Sinha,Ayushmann Khurrana,,
Antenna,2021,84 min,Drama,7.1,7,Shoib Nikash Shah,Imran Khan,Imran Khan,Azmat Khwaja
Antim: The Final Truth,2021,,Action,,,Mahesh Manjrekar,Salman Khan,Jisshu Sengupta,Nikitin Dheer
Anubhuti,2021,110 min,Drama,,,Anirban Dutta,Aritraa Sengupta,Shamila Bhattacharya,Rittick Bhattacharya
Aparajitha Ayodhya,2021,,Drama,,,Kangana Ranaut,Kangana Ranaut,,
Apne 2,2021,,Drama,,,Anil Sharma,Sunny Deol,Bobby Deol,Dharmendra
Asthi the Ashes,2021,110 min,Biography,,,Dinkar Rao,Antara Rao,,
Atithi Bhooto Bhava,2021,,"Comedy, Drama, Romance",,,Hardik Gajjar,Pratik Gandhi,Jackie Shroff,Sharmin Segal
Atlas,2021,,Drama,,,Vikas Kalpana Dwivedi,Narottam Ben,Singh Bhupesh,Devendra Singh Dev
Atrangi Re,2021,,"Comedy, Drama, Romance",,,Aanand L. Rai,Akshay Kumar,Dhanush,Sara Ali Khan
Attack,2021,,"Action, Thriller",,,Lakshya Raj Anand,Rakul Preet Singh,John Abraham,Jacqueline Fernandez
B.A. Pass 3,2021,136 min,"Drama, Romance",8.3,"1,877",Narendra Singh,Sunny Sachdeva,Armaan Sandhu,Ankita Sahu
Babloo Bachelor,2021,,Comedy,,,Agnidev Chatterjee,Aakash Dabhade,Rajesh Sharma,Asrani
Badhaai Do,2021,,Comedy,,,Harshavardhan Kulkarni,Rajkummar Rao,Bhumi Pednekar,
Baiju Bawra,2021,,Drama,,,Sanjay Leela Bhansali,Deepika Padukone,Ranbir Kapoor,Alia Bhatt
Baikunth,2021,72 min,Family,9.3,29,Vishwa Bhanu,Vishwa Bhanu,Sangam Shukla,Vijay Thakur
Banda Yeh Bindaas Hai,2021,,Comedy,,,Tabu,Govinda,Lara Dutta,Boman Irani
Bansuri: The Flute,2021,108 min,Drama,3.7,7,Hari Viswanath,Anurag Kashyap,Rituparna Sengupta,Upendra Limaye
Barah by Barah,2021,118 min,Drama,,,Gaurav Madan,Aashit Chatterjee,Bhumika Dube,Geetika Vidya Ohlyan
Bawri Chhori,2021,,Drama,5.2,79,Akhilesh Jaiswal,Sagar Arya,Amerjit Deu,Apurva Gondalia
Bellbottom,2021,130 min,"Action, Thriller",,,Ranjit Tewari,Huma Qureshi,Akshay Kumar,Vaani Kapoor
Bhaijan,2021,,Action,,,Sajid Khan,Ajaz Khan,Mamta Soni,Jin Joshi
Bhanwar Jindagi,2021,,Drama,,,Swaroop Sawant,Ganesh Yadav,Kamlesh Sawant,Shreya Pasalkar
Bhasadbaaz,2021,60 min,"Comedy, Drama",,,Abhishek Prasad,Sheeba Chaddha,Vineet Kumar,Anil Charanjeett
Bhool Bhulaiyaa 2,2021,,"Comedy, Horror",,,Anees Bazmee,Tabu,Kiara Advani,Kartik Aaryan
Bhoot police,2021,,Comedy,,,Pavan Kripalani,Yami Gautam,Saif Ali Khan,Jacqueline Fernandez
Bhuj: The Pride of India,2021,,"Action, Drama, History",,,Abhishek Dudhaiya,Sharad Kelkar,Ajay Devgn,Parineeti Chopra
Bidi Bakda,2021,,Drama,,,Gajendra Ahire,Seema Biswas,Eshika Dey,Govind Namdeo
Bikroo Kanpur Gangster,2021,,Crime,,,Neeraj Singh,Shraddha Srivastava,Nimai Bali,Anil Rastogi
Black Coffee,2021,,Drama,,,Hemant Verma,Suhasini Mulay,Virendra Saxena,
Black Market,2021,131 min,Action,,,Arjun Raaj,Attin Bhalla,Milind Gunaji,Mohan Joshi
Black Rose,2021,,Thriller,5,46,Hemant N Mishra,Samiksha Bhatnagar,Abhilash Narain,Sanjana Shukla
Body,2021,,Mystery,,,Abhijit Mazumdar,Khushboo Upadhyay,Jatin Negi,Manoj Sharmaa
Bole Chudiyan,2021,,"Comedy, Drama, Romance",,,Shamas Nawab Siddiqui,Tamannaah Bhatia,Nawazuddin Siddiqui,Rajpal Yadav
Bollywood Zindabad,2021,,Biography,,,Rishab Bhardwaj,Preeti,,
Bolo Hau,2021,94 min,"Comedy, Romance",,,Tarun Dhanrajgir,Jahnavi Dhanrajgir,Adnan Sajid Khan,Preeti Nigam
Bombay Girl,2021,,Drama,,,Ssanjay Tripaathi,Janhvi Kapoor,,
Borderlands,2021,,Documentary,9,7,Samarth Mahajan,,,
Boxed,2021,115 min,Adventure,6.4,10,Mohd Feroz Qureshi,Mantosh Kumar,Jahina Mulla Qureshi,Mohd Feroz Qureshi
Brahmastra,2021,,"Action, Adventure, Fantasy",,,Ayan Mukherjee,Dian Hristov,Dimple Kapadia,Amitabh Bachchan
Bunty Aur Babli 2,2021,,Romance,,,Varun V. Sharma,Rani Mukerji,Saif Ali Khan,Pankaj Tripathi
Chandigarh Kare Aashiqui,2021,,Romance,,,Abhishek Kapoor,Ayushmann Khurrana,Vaani Kapoor,Leena Sharma
Chatrapathi Hindi Remake,2021,,"Action, Drama",,,V.V. Vinayak,Sai Srinivas Bellamkonda,Monazir Khan,Amit Shivdas Nair
Cheer Haran,2021,98 min,Documentary,9.1,123,Kuldeep Ruhil,Kuldeep Ruhil,,
Chehre,2021,,"Drama, Mystery, Thriller",,,Rumi Jaffery,Amitabh Bachchan,Rhea Chakraborty,Dhritiman Chatterjee
Coat,2021,,"Drama, Family",,,Akshay Ditti,Sanjay Mishra,Sonal Jha,Vivaan Shah
Come on Yaar,2021,122 min,Drama,,,Rajeshwar Pandey Raaj,Tanzeem Alam,Amlesh Jaiswal,Manoj Jaiswal
Consequence Karma,2021,92 min,"Drama, Thriller",9,223,Shadab Ahmad,Sidharth Bhardwaj,Monis Khan,Pooja Gupta
D Company,2021,91 min,"Action, Crime, Thriller",4.4,218,Ram Gopal Varma,Sandeep Bose,Abhilash Chaudhary,Pranay Dixit
Dada Lakhmi Chand,2021,,Biography,,,Yashpal Sharma,Yashpal Sharma,,
Damned Graveyard,2021,,Horror,,,Sanjeev Kumar Rajput,Kurush Deboo,Anju Jadhav,Zuber K. Khan
Dancing Daughters,2021,90 min,Documentary,,,Dinkar Rao,,,
Dangerous,2021,,"Action, Romance, Thriller",,,Ram Gopal Varma,Rajpal Yadav,Naina Ganguly,Apsara Rani
Darlings,2021,,Drama,,,Jasmeet K Reen,Alia Bhatt,Shefali Shah,Vijay Varma
Dasvi,2021,,"Comedy, Drama",,,Tushar Jalota,Nimrat Kaur,Yami Gautam,Abhishek Bachchan
Deep Inside,2021,101 min,Thriller,,,Bharath Bhushan Nethi,Anjum Rajabali,Kapil Chaudhary,Pavan Aryaveer Rajput
Deewaanee,2021,,Romance,,,Raam Sharma,Kader Khan,Sadashiv Amrapurkar,Kunickaa Sadanand
Dehati Disco,2021,,"Comedy, Musical",,,Manoj Sharma,Ganesh Acharya,Ravi Kishan,Manoj Joshi
Deja Vu,2021,,Sci-Fi,,,Abhijeet Warang,Sharad Kelkar,Amruta Khanvilkar,Kishori Shahane
Dekh Mujhe Bhi - Syed Fardeen and Shweta Jean,2021,,"Music, Romance",,,Saaz Khan,Shaim Khan,Saif Aly,Syed Fardeen
Desert Tears,2021,98 min,Drama,,,Himanshu Gulati,Anangsha Biswas,Megha Chakraborty,Anil Charanjeett
Desi Magic,2021,,"Comedy, Romance",,,Mehul Atha,Cait Alexander,Ameesha Patel,Esha Gupta
Destination Zindagi,2021,78 min,Drama,,,Saptarishi Pratim,Tirrtha Murbaadkar,Rammnik Singh,Harish Kulkarni
Dhaakad,2021,,Action,,,Razneesh Ghai,Sharib Hashmi,Kangana Ranaut,Arjun Rampal
Dhamaka,2021,,"Action, Thriller",,,Ram Madhvani,Kartik Aaryan,Mrunal Thakur,Vishwajeet Pradhan
Dhananjay,2021,,Thriller,,,Akhil Parashar,Shahbaaz Khan,Ashmit Patel,Zuber K. Khan
Dharma Productions,2021,,Drama,,,Megastar Maharishi Aazaad,Megastar Maharishi Aazaad,,
Dhundh,2021,,Horror,,,,,,
Dhyey,2021,,Romance,,,Trinayan Sharma,Shaziya Lala,Jageshwar Banvariya,Shaikh Umiya
Dihadi,2021,87 min,Drama,,,Nidhi Patel,Pooja Patel,Vaibhav Bhatt,Bhagvad Nayak
Dilbar,2021,,Romance,,,Guddu,Shamas Durrani,Brij Gopal,Raman Gupta
Dilli Kaand,2021,,Drama,,,Kritik Kumar,Preetika Chauhan,Kashvi Kanchan,Virendra Saxena
Dobaaraa,2021,,Thriller,,,Anurag Kashyap,Taapsee Pannu,Saswata Chatterjee,Pavail Gulati
Doctor I Love You,2021,,Thriller,7.9,65,Mukul Abhyankar,Shiraz Hussain,Sheetal Shah,
Dostana 2,2021,,Comedy,,,Collin D'Cunha,Janhvi Kapoor,Abhishek Banerjee,Kirron Kher
Dusty to Meet Rusty,2021,,"Adventure, Drama",,,Glen Barreto,,,
Dwimukha,2021,122 min,"Comedy, Drama, Mystery",,,Madhu Shrikaar,Praveen Atharva,Vijay Chandra,Vijay Chendoor
Ek Dopahar (An Afternoon),2021,90 min,Drama,,,Leena Malhotra,Dinkar Rao,Sheel Kalia,Antara Rao
Ek Nashebaaz,2021,,Drama,,,Gabriel Vats,Govind Namdeo,Gabriel Vats,Vijay Vikram Singh
Everything Is Cinema,2021,70 min,Drama,,,Don Palathara,Sherin Catherine,Don Palathara,
Evil Dead is Back,2021,120 min,Horror,,,Tariq Bhat,Sultan Ansari,Ajay Bafna,Nataliya Kozhenova
Fatima,2021,,Documentary,,,Sourabh Kanti Datta,,,
Fauja,2021,,Biography,,,Omung Kumar,,,
Fauji Calling,2021,134 min,Drama,5.4,77,Aaryaan Saxena,Bidita Bag,Anil Chouhan,Mugdha Godse
Feraa,2021,,Drama,,,Rahul Manohar Chaudhari,,,
Fire in the Mountains,2021,84 min,Drama,6.8,26,Ajitpal Singh,Vinamrata Rai,Chandan Bisht,Harshita Tiwari
Fiza Mein Tapish,2021,125 min,Drama,,,Rahat Khan,Salman Shaikh,Richa Kalra,Mithilesh Chaturvedi
Flight,2021,116 min,"Action, Thriller",8.3,359,Suraj Joshi,Vishal Arya,Babita Ashiwal,Shibani Bedi
Football,2021,,Drama,,,Rani Bhan,Azmat Khwaja,Namita Lal,Swaylee Loughnane
Fun In Goa,2021,,,,,Ashish Kumar Dubey,Gajendra,,
Gaalib,2021,,Drama,,,Manoj Giri,Nikkhil Pitaley,Deepika Chikhalia,Anil Rastogi
Gadera,2021,125 min,"Drama, History, Thriller",,,Yogesh Vats,Edward Christle,Andrew Johnson,Catarina Morais
Galti,2021,,Thriller,5.6,5,Bande Prasad,Shrivastava Anushka,Kant Arun,
Gamanam,2021,,Drama,,,Sujana Rao,Shriya Saran,Nithya Menen,Priyanka Jawalkar
Gangs of Malgudi,2021,,Comedy,,,Guru Savan,Sanjay Mishra,Rohit Gupta,
Gangubai Kathiawadi,2021,,"Biography, Crime, Drama",,,Sanjay Leela Bhansali,Alia Bhatt,Ajay Devgn,Indira Tiwari
Gaurav Gupta: Market Down Hai,2021,50 min,Comedy,7.5,226,Neville Shah,Gaurav Gupta,,
Ghar Pe Bataao,2021,72 min,Drama,7.6,43,Neshu Saluja,Saurabh Goyal,Priyanka Sonawane Hedau,
Gokula Krishna,2021,90 min,Animation,,,Murugan V.,,,
Good Luck Jerry,2021,,"Comedy, Crime, Drama",,,Siddharth Sengupta,Janhvi Kapoor,Sushant Singh,Mita Vashisht
Gotakhor,2021,,Drama,,,Sanjeev Kumar Rajput,Anju Jadhav,Zuber K. Khan,Adarsh Kumar
Green,2021,115 min,Drama,,,Prashant Nagenrda,Paridhi Sharma,Divyangana Jain,Sanjay Singh
Guest Unwanted,2021,137 min,"Crime, Thriller",,,Parvinder Singh Wraich,Harkiran Kaur Wraich,Happy BanMajra,Baljeet Madwara
Guilty,2021,,Crime,,,Amey Karhade,Rishita Palshetkar,Mahima Thakar,Gdev
Gutter Boy,2021,58 min,Drama,,,Anupam Khanna Baswal,Laxmi Kant Baswala,Ajeet Kumar,Ankit Mahna
Haathi Mere Saathi,2021,126 min,Drama,,,Prabu Solomon,Rana Daggubati,Zoya Hussain,Pulkit Samrat
Half Dracula,2021,100 min,Mystery,,,Vickram,Amit Kumar Vashisth,Toofan Verma,
Half Songs,2021,79 min,"Music, Romance",9.7,7,Sriram Raja,Raj Banerjee,Emon Chatterjee,Purshottam Mulani
Hanak,2021,,Crime,,,Manish Vatssalya,Manish Goel,Anuradha Mukherjee,Sanjeev Tyagi
Haseen Dillruba,2021,135 min,"Crime, Drama, Mystery",,,Vinil Mathew,Taapsee Pannu,Vikrant Massey,Harshvardhan Rane
Hawayein,2021,,"Adventure, Drama, Romance",,,Yogesh Vats,Bhavesh Kumar,Ester Noronha,Kiran Kumar
Hello Charlie,2021,102 min,Comedy,5.6,"3,167",Pankaj Saraswat,Aadar Jain,Jackie Shroff,Shloka Pandit
Heropanti 2,2021,,Action,,,Ahmed Khan,Tiger Shroff,Tara Sutaria,Sarwan Ali Palijo
Holy Cow,2021,,Comedy,,,Sai Kabir,Nawazuddin Siddiqui,Sanjay Mishra,Tigmanshu Dhulia
House No. 446,2021,,"Horror, Thriller",7.8,8,Kritika Sachdeva,Vandana Seth,Vishal Singh,Prince Thakur
Hum Hum Hain,2021,113 min,Drama,,,Bijendra Singh,Nakul Gill,Pentali Sen,Sandeep Yadav
Hush,2021,,Thriller,,,Ashu Trikha,Parthaa Akerkar,Malti Chahar,Kitu Gidwani
I Am Draupadi,2021,110 min,Drama,,,Pawan k Shrivastava,Bidita Bag,Mayur More,Rajit Kapoor
I Am Not a Player,2021,,Comedy,,,Chand Mehta,Arjun Kapoor,Shubhangi Latkar,Manoj Bakshi
In The Month of July,2021,,Family,,,Saurabh Sengupta,Shamim Akbarali,Donal Bisht,Ranjeet Jha
India Lockdown,2021,,Drama,,,Madhur Bhandarkar,Shweta Basu Prasad,Aahana Kumra,Sai Tamhankar
"Indradhanush, the Grey Shades of Love",2021,90 min,Mystery,8.8,5,Nalin Singh,Talia Bentson,Sommansh Sachdevva,
Ittar,2021,,Romance,,,Veena Bakshi,Deepak Tijori,Rituparna Sengupta,Sanyogita Bhave
Jaako Raakhe Saaiyan,2021,,Comedy,,,Rajiv S. Ruia,Arjun Rampal,Tigmanshu Dhulia,Rajpal Yadav
Jamun,2021,92 min,"Drama, Family",7.5,409,Gaurav Mehra,Raghuvir Yadav,Shweta Basu Prasad,Sunny Hinduja
Janhit Mein Jaari,2021,,Comedy,,,Omung Kumar,Nushrat Bharucha,Pavail Gulati,
Jayeshbhai Jordaar,2021,,Comedy,,,Divyang Thakkar,Ranveer Singh,Boman Irani,Ratna Pathak Shah
Jersey,2021,,"Drama, Sport",,,Gowtam Tinnanuri,Shahid Kapoor,Mrunal Thakur,Pankaj Kapur
Jhund,2021,,"Biography, Drama, Sport",,,Nagraj Manjule,Amitabh Bachchan,Vicky Kadian,Ganesh Deshmukh
Jogira Sara Ra Ra,2021,,"Comedy, Romance",,,Kushan Nandy,Nawazuddin Siddiqui,Neha Sharma,Vishal Anand
Joy,2021,91 min,Drama,,,Varun Singh Rajput,Varun Singh Rajput,Ipsit Nayak,Ali Satunwala
Jug Jugg Jeeyo,2021,,Comedy,,,Raj Mehta,Anil Kapoor,Kiara Advani,Varun Dhawan
June,2021,93 min,Drama,9.4,18,Suhrud Godbole,Vaibhav Khisti,Nilesh Divekar,Jitendra Joshi
Junglemahal,2021,143 min,Horror,,,Arunava Chowdhury,Aditya Baliyan,Suraiya Parvin,Prashant Shinde
Justice For Good Content,2021,,Comedy,,,Ali Haji,Kritika Avasthi,Chirag Bajaj,Dhaval Barbhaya
K.G.F: Chapter 2,2021,,"Action, Crime, Drama",,,Prashanth Neel,Yash,Sanjay Dutt,Raveena Tandon
Kaadan,2021,170 min,"Action, Drama, Fantasy",9.1,"2,219",Prabu Solomon,Raghu Babu,Rana Daggubati,Abudhar Al Hassan
Kaagaz,2021,109 min,"Biography, Comedy, Drama",7.6,"6,738",Satish Kaushik,Pankaj Tripathi,Monal Gajjar,Satish Kaushik
Kabaad- The Coin,2021,132 min,Drama,6.6,76,Varadraj Swami,Vivaan Shah,Zoya Afroz,Abhishek Bajaj
Kabhi Eid Kabhi Diwali,2021,,Drama,,,Farhad Samji,Salman Khan,Pooja Hegde,
Kabza,2021,,"Action, Adventure",,,R. Chandru,Nayanthara,Jackie Shroff,Prakash Raj
Kake,2021,,,,,Satyam Raj,,,
Kallu Handsome,2021,,Drama,,,Reyansh Behl,Anshumann Chaturvedi,Ritesh s Kumar,Ravi Mann
Karma,2021,105 min,"Drama, Romance",,,Kartik Swaminathan Venkatraman,Johnny Serret,Sagar Sharma,Puja S
Karnam Malleswari Biopic,2021,,Sport,,,Sanjana Reddy,,,
Karnika,2021,,Drama,,,Rupender Verma,,,
Khiladi 1080,2021,,Action,,,Kabir Sadanand,,,
Koi Jaane Na,2021,141 min,Thriller,3.5,514,Amin Hajee,Kunal Kapoor,Amyra Dastur,Elli Avrram
Koi Sath Hai,2021,,Horror,3.1,18,Mahaveer Shringi,Anwar Ali,Pratik Asnani,Sikandar Chauhan
Koochie Koochie Hota Hai,2021,,"Animation, Family, Musical",,,Tarun Mansukhani,Shah Rukh Khan,Kajol,Rani Mukerji
Kotigobba 3,2021,,Action,,,Shiva Karthik,Sudeep,Aftab Shivdasani,Madonna Sebastian
Kun Faya Kun,2021,,"Drama, Thriller",,,Kushan Nandy,Harshvardhan Rane,Sanjeeda Sheikh,DJ Farman
Kurup,2021,,"Biography, Crime, Thriller",,,Srinath Rajendran,Vini Vishwa Lal,Manoj Bajpayee,Dulquer Salmaan
Kutub Minar,2021,,Drama,,,Raaj Aashoo,Kanchan Awasthi,Karanvir Bohra,Tridha Choudhury
L.A.C.,2021,90 min,Action,,,Nitin Gupta,Rahul Roy,Nitin Gupta,Nishant Malkani
Lahore Confidential,2021,68 min,"Crime, Drama, Thriller",2.8,522,Kunal Kohli,Richa Chadha,Nikhat Khan,Abdullah Osman
Legends of Vikasnagar,2021,,Crime,,,Nabeel Firoz,Zeeshan Tahir Ali Khan,,
Liger,2021,,Drama,,,Puri Jagannadh,Ramya Krishnan,Vijay Deverakonda,Ananya Panday
Looop Lapeta,2021,,"Action, Comedy, Romance",,,Aakash Bhatia,Shreya Dhanwanthary,Taapsee Pannu,Tahir Raj Bhasin
Love Hostel,2021,,"Crime, Thriller",,,Shanker Raman,Vikrant Massey,Sanya Malhotra,Bobby Deol
Love Sorries,2021,101 min,"Comedy, Drama, Romance",9.3,79,Gautam Joshi,Prashant Chaubey,Puneet Chouksey,Amitabh Gupta
Love You Pappu,2021,,"Comedy, Romance",,,Ajay Veermal,Krishna Bhatt,Manil Mayank Mishra,Tripti Bajoria
Lubdh,2021,150 min,"Drama, Thriller",,,Partha Ganguly,Ankur Bhatia,Joy Sengupta,Judhajit Sarkar
Maarrich,2021,,Thriller,,,Dhruv Lather,Naseeruddin Shah,Rahul Dev,Tusshar Kapoor
Machaan,2021,124 min,"Drama, Romance",8.6,93,Nitesh Tiwari,Pawan Waval,Richa Kalra,Prateek Goyal
Madam Chief Minister,2021,130 min,Drama,4.6,"1,383",Subhash Kapoor,Richa Chadha,Manav Kaul,Saurabh Shukla
Mad'ouk - Toughened by Life,2021,79 min,Documentary,,,Bharat Talaviya,Arvind Bijwe,Hari Damalpatti,Raj Vadgama
Maidaan,2021,,"Drama, History, Sport",,,Amit Ravindernath Sharma,Priyamani,Ajay Devgn,Gajraj Rao
Maila,2021,,Drama,,,Aditya Om,,,
Main Mulayam Singh Yadav,2021,120 min,Biography,4.2,118,Suvendu Ghosh,Amyth Sethi,Govind Namdeo,Mukesh Tiwari
Majhe,2021,,Drama,,,Amarpal Singh Fauzdar,Anindita Ghosh,Somnath Mondal,Priyanka Dasgupta
Majjma,2021,106 min,Drama,8.1,24,Prabhat Sachdeva,Amit Bhardwaj,Gagansharmaknl,Nanda Yadav
Major,2021,,"Action, Biography, Drama",,,Sashi Kiran Tikka,Sobhita Dhulipala,Prakash Raj,Adivi Sesh
