Movie,Years,Duration,Genre,Rating,Unnamed: 5,Actor_1,Actor_2,Actor_3,Actor_4
Lahore Confidential,2021,68 min,"Crime, Drama, Thriller",2.8,522,Kunal Kohli,Richa Chadha,Nikhat Khan,Abdullah Osman
Love Sorries,2021,101 min,"Comedy, Drama, Romance",9.3,79,Gautam Joshi,Prashant Chaubey,Puneet Chouksey,Amitabh Gupta
Lubdh,2021,150 min,"Drama, Thriller",8.6,,Partha Ganguly,Ankur Bhatia,Joy Sengupta,Judhajit Sarkar
Machaan,2021,124 min,"Drama, Romance",8.6,93,Nitesh Tiwari,Pawan Waval,Richa Kalra,Prateek Goyal
Madam Chief Minister,2021,130 min,Drama,4.6,"1,383",Subhash Kapoor,Richa Chadha,Manav Kaul,Saurabh Shukla
Mad'ouk - Toughened by Life,2021,79 min,Documentary,1.7,,Bharat Talaviya,Arvind Bijwe,Hari Damalpatti,Raj Vadgama
Main Mulayam Singh Yadav,2021,120 min,Biography,4.2,118,Suvendu Ghosh,Amyth Sethi,Govind Namdeo,Mukesh Tiwari
Majjma,2021,106 min,Drama,8.1,24,Prabhat Sachdeva,Amit Bhardwaj,Gagansharmaknl,Nanda Yadav
Manvee,2021,87 min,Drama,2.0,,Tanmay Nag,Jayanta Mondal,Sagar Kumar,Peehu Biswas
MarginalizedAadhaar,2021,69 min,Documentary,7.7,,Subhashish Panigrahi,Ramani,Usha Ramanathan,Dinabandhu Gamango
Millions of Cards,2021,90 min,"Drama, War",5.6,,Dhananjay Galani,,,
Moral Nights,2021,93 min,Drama,9,37,S. Sunil,Kannanunni,Santhosh Keezhattoor,Sandra Larwin
Morjim,2021,118 min,"Crime, Mystery, Thriller",2.5,,Faizan Kareem,Dipannita Sharma,Sharat Saxena,Manjot Singh
Mosagallu,2021,85 min,Drama,7.9,"1,059",Jeffrey Gee Chin,Vishnu Manchu,Kajal Aggarwal,Sunil Shetty
Mumbai Saga,2021,135 min,"Action, Crime",6.1,"7,295",Sanjay Gupta,John Abraham,Emraan Hashmi,Mahesh Manjrekar
My Darling,2021,80 min,Drama,7.4,63,Arpa Khan,Kamalika Chanda,Deep Kumar Singh,
Nail Polish,2021,128 min,Drama,7.4,"3,737",Bugs Bhargava Krishna,Arjun Rampal,Manav Kaul,Anand Tiwari
NCR: Chapter One,2021,65 min,Crime,7.8,20,Saif Baidya,Ajay Kkhundal,Manil Mayank Mishra,Puneet Kumar Mishra
Noise of Silence,2021,110 min,"Drama, Romance",7.2,46,Saif Baidya,Puja Jha,Syed Firdaus,Sayantika Nath
Not Today,2021,92 min,Drama,1.5,,Aditya Kripalani,Harsh Chhaya,Vibhawari Deshpande,Madhuri Gawali
Out of Time,2021,90 min,"Horror, Mystery, Sci-Fi",9.9,,Arijit Lahiri,Danny Sura,Menaka Lalwani,Ashish Bhatt
Pagglait,2021,114 min,"Comedy, Drama",6.9,"7,043",Umesh Bist,Sanya Malhotra,Sayani Gupta,Sheeba Chaddha
Pedrya (Loser),2021,90 min,Drama,4.5,,Harshad Nalawade,Donna Munshi,Harshad Nalawade,Atul Deshmukh
Pitta Kathalu,2021,150 min,"Drama, Romance",5,627,Nag Ashwin,Tharun Bhascker Dhaassyam,B.V. Nandini Reddy,Sankalp Reddy
Premaatur,2021,109 min,"Horror, Romance, Thriller",9.0,,Sumit Sagar,Prashant Walde,Heta Shah,Kalyani Kumari
Priti the dark shadow of society,2021,101 min,Family,2.1,,Arjun Mahadev Vriti,Mohammad Ishtiyaq Mi Ishu Boy,Harish Gupta,Ayushi Chatterjee
Project Kahuta,2021,82 min,"Biography, History, Thriller",7.9,,Ankur Pajni,Manjari Fadnnis,Vinay Pathak,Ayushi Gupta
Raat Baaki Hai,2021,100 min,"Drama, Thriller",5.2,332,Avinash Das,Paoli Dam,Anup Soni,Dipannita Sharma
Radhe,2021,135 min,"Action, Crime, Thriller",1.8,"162,455",Prabhu Deva,Salman Khan,Disha Patani,Randeep Hooda
Raka,2021,118 min,Action,5.8,,Dhananjay Mukherjee,Ujjwal Ank,Laltu Bagdi,Palash Chatterjee
Refl3ct,2021,65 min,Sci-Fi,9.3,467,Nikhil Mahar,Vijay Mahar,Vijay Mahar,Nikhil Mahar
Risknamaa 2,2021,150 min,Thriller,1.2,,Aarun Nagar,Kirti Gurjar,Prajakta Kiran,Prayas Mann
RK/RKAY,2021,95 min,Drama,8.7,12,Rajat Kapoor,Rajat Kapoor,Mallika Sherawat,Ranvir Shorey
Roohi,2021,134 min,"Comedy, Horror",4.3,"6,422",Hardik Mehta,Rajkummar Rao,Varun Sharma,Janhvi Kapoor
Rudra Gadh @6km,2021,120 min,Horror,2.1,,Arjun Rao,Rajesh Bonik,Raaj Seth,Raja Murad
Saina,2021,135 min,"Biography, Drama, Sport",4.2,"3,369",Amole Gupte,Mukesh Agrohari,Olga Anand,Rohan Apte
Sakshi,2021,112 min,Thriller,1.2,,Ajay Ram,Madhumita Biswas,Yugansh Juneja,Vikram Mastal
San' 75 (Pachattar),2021,123 min,Thriller,4.1,,Navneet Behal,Pravessh Rana,Kay Kay Menon,Kirti Kulhari
Sandeep Aur Pinky Faraar,2021,125 min,"Comedy, Crime, Drama",6.3,"6,489",Dibakar Banerjee,Parineeti Chopra,Arjun Kapoor,Jaideep Ahlawat
Sardar Ka Grandson,2021,139 min,"Comedy, Drama, Romance",4.1,"3,773",Kaashvi Nair,Neena Gupta,Arjun Kapoor,Rakul Preet Singh
Satyameva Jayate 2,2021,122 min,"Action, Crime, Drama",7.0,,Milap Zaveri,John Abraham,Gautami Kapoor,Divya Khosla Kumar
Scary Forest,2021,130 min,Horror,5.6,,Sanjay Abeer,Riddhii Bansal,Jayaprabhu Lingayath,Teena Ponnappa
Searching for Sheela,2021,58 min,"Documentary, Biography, Crime",4.1,553,Shakun Batra,Ma Anand Sheela,Shoma Chaudhury,Anurag Chauhan
Secrets of Sinauli,2021,56 min,"Documentary, History",9.3,"1,373",Raghav Jairath,Manoj Bajpayee,R.S. Bhist,K.N. Dixit
Shaadisthan,2021,94 min,"Drama, Musical",6,191,Raj Singh Chaudhary,Nivedita Bhattacharya,Sanjay Dadhich,Kirti Kulhari
Shooter,2021,143 min,"Action, Crime, Drama",9.5,,Vishram Sawant,Michelle Krusiec,Randeep Hooda,Sunil Shetty
Shouting Silence,2021,95 min,"Crime, Drama, Thriller",5.7,,Jaimin Bal,Sachin Khedekar,Samir Singh,Tapaswini Reddy
Silence: Can You Hear It,2021,136 min,"Crime, Thriller",6.6,"3,324",Aban Bharucha Deohans,Sahil Vaid,Manoj Bajpayee,Hitha Chandrashekar
Skater Girl,2021,107 min,"Drama, Family, Sport",6.6,"1,154",Manjari Makijany,Amy Maghera,Waheeda Rehman,Rachel Saanchita Gupta
Someone,2021,160 min,"Drama, Romance",3.5,,Sid Bhagvathula,Vibhu Kaushik,Vindhyanshu Dubey,Shreya Ranjan
Something Wrong,2021,110 min,Horror,6.2,,Azhar Hussain,Rahul Jain,Priti Singh,Asad Khan
Sooryavanshi,2021,176 min,"Action, Thriller",5.6,,Rohit Shetty,Akshay Kumar,Katrina Kaif,Ajay Devgn
Switchh,2021,130 min,"Action, Thriller",4.2,11,Mustufa Raj,Armen Grayg,Hanif Hilal,Naren Kumar
Tank Cleaner,2021,155 min,Thriller,8.7,20,Parvinder Singh Wraich,Harkiran Kaur Wraich,Muntazir Ahmad,Sunny Gill Ambersariya
The Big Bull,2021,153 min,"Biography, Crime, Drama",6.1,"11,536",Kookie Gulati,Abhishek Bachchan,Nikita Dutta,Ileana D'Cruz
The Birth: 10000 BC,2021,109 min,"Adventure, History",8.2,,Dr. Vikram,Pratap Rana,,
The Closed Door,2021,50 min,"Mystery, Sci-Fi",2.6,,Shekhar Kar,Riann Barruah,Shekhar Kar,Romil K. Sharma
The Dark Jungle,2021,123 min,"Adventure, Horror, Mystery",7.8,,Rakesh Sawant,Bhavesh Kumar,Shakti Kapoor,Sudesh Berry
The Darling Wife,2021,94 min,"Horror, Thriller",6.0,,Barshali Chatterjee,Amitabh Acharya,Tanika Basu,Tapas Basu
The Forgotten,2021,120 min,Mystery,7.3,,Mirza Ali,Vishwa Gulati,Nish,
The Girl on the Train,2021,120 min,"Crime, Drama, Mystery",4.4,"7,312",Ribhu Dasgupta,Aditi Rao Hydari,Kirti Kulhari,Parineeti Chopra
The Hauntings in MadhyaPradesh,2021,117 min,Horror,4.2,,Khader Abdul,Khader Abdul,Eisha Megan Acton,Vivek Panjabi
The Power,2021,154 min,"Action, Crime, Drama",5.7,"1,544",Mahesh Manjrekar,Vidyut Jammwal,Shruti Haasan,Salil Ankola
The Purple Night,2021,59 min,Action,7.1,,Pavan Kumar Rajamahendravarapu,Ratnesh Rai,Gaana Bhat,Ritwik Verma
The River of Love,2021,70 min,Mystery,2.3,,Akash Khurana,Akash Khurana,Sheetal Menon,Sarang Sathaye
The Tenant,2021,112 min,Drama,8.1,,Sushrut Jain,Shamita Shetty,Rudhraksh Jaiswal,Sheeba Chaddha
The White Tiger,2021,125 min,"Crime, Drama",7.1,"49,877",Ramin Bahrani,Adarsh Gourav,Rajkummar Rao,Priyanka Chopra Jonas
The Wife,2021,106 min,"Crime, Horror, Romance",4.5,235,Sarmad Khan,Gurmeet Choudhary,Shweta Dadhich,Sayani Datta
Three Losses,2021,60 min,Documentary,8.5,,Rahul Sharma,Shimi Dolkar,Mathias Durand,Florence Galinier
Time to Dance,2021,113 min,"Musical, Romance",1.8,730,Stanley D'Costa,Sooraj Pancholi,Isabelle Kaif,Waluscha De Sousa
Toofan Mail,2021,97 min,Drama,3.6,,Akriti Singh,Shahrukh Chauhan,Arshad Mumtaz,Surya Rao
Tribhanga,2021,95 min,"Drama, Family",6.1,"2,508",Renuka Shahane,Kajol,Tanvi Azmi,Mithila Palkar
Tuesdays and Fridays,2021,106 min,"Comedy, Musical, Romance",4.5,574,Taranveer Singh,Anmol Dhillon,Jhataleka Malhotra,Niki Walia
Udd Ja Re,2021,83 min,"Drama, Thriller",9.5,,Prarjun Majumder,Rajesh Sharma,Joy Sengupta,Aishwarya Sen
VanRakshak,2021,93 min,Drama,8.2,32,Pawan Kumar Sharma,Dhirendra Thakur,Aditya Srivastav,Yashpal Sharma
Viraat,2021,150 min,Crime,8.9,294,Narendra Singh,Kritika Sachdeva,Ravi Jhanghu,Lokesh Tilakdhari
Watch Over Me,2021,92 min,Documentary,2.8,,Farida Pacha,,,
Whats the plan dude,2021,78 min,Drama,6.9,,Abhishek D Bhola,Amit Kumar Chauhan,Dev Gohar,Sanjiv Lakhanpal
Writing with Fire,2021,92 min,Documentary,8.1,106,Sushmit Ghosh,Rintu Thomas,Meera Devi,Shyamkali Devi
Yamuna Paar,2021,106 min,Crime,3.2,,Anuj Kumar Roy,Suraj Anand,Soni Gautam,Nitin Singh Negi
Yug the law of karma,2021,75 min,"Action, Crime, Drama",7.7,10,Dilip Kumar,Vinod Kumar,Dilip Kumar,Saurav Bagga
13 Tribute of Love,2020,66 min,Drama,6.1,,Rahul Tiwari,Rahul Tiwari Adhiyari,Anil Arora,Asima Bhatt
376 D,2020,128 min,"Crime, Thriller",5.7,252,Gunveen Kaur,Robin Sikarwar,Vivek Kumar,Deeksha Joshi
6387 Meters Black Peak,2020,85 min,Documentary,5.5,,Kovid Mittal,Kovid Mittal,,
A Game Called Relationship,2020,109 min,"Comedy, Romance",6.3,181,Vivek Sharma,Mandy Takhar,Vivek Sharma,Sumit Suri
A Rifle and a Bag,2020,89 min,Documentary,6.8,15,Cristina Hanes,Isabella Rinaldi,Arya Rothe,
Aahvaan,2020,114 min,"Comedy, Horror",5.3,,Amrit Raj Thakur,Dev Vart Singh,Arya Chaturvedi,Muskaan Sinha
Adhiktam,2020,45 min,"Action, Comedy",9.2,,Prashast Singh,Prashast Singh,,
Admitted,2020,126 min,"Documentary, Biography",2.0,,Ojaswwee Sharma,Dhananjay Chauhan,,
AK vs AK,2020,108 min,"Action, Comedy, Crime",6.9,"12,429",Vikramaditya Motwane,Anil Kapoor,Anurag Kashyap,Sonam Kapoor
All Ladies Do It,2020,97 min,Thriller,7.9,384,Akhil Gautam,Akhil Gautam,Ajay Bafna,Vikas Sachdeva
Amar Kahani Ravidas Ji Ki,2020,98 min,History,7.6,,Arvind Singh Sirohi,Bhawana Arora,Samayera Khan,Sandeep Mohan
Amar Prem,2020,143 min,Drama,4.4,25,Tanveer Hashmi,Chandrima Banerjee,Kundan Bhardwaj,Sufi
Angrezi Medium,2020,145 min,"Comedy, Drama",7.3,"11,700",Homi Adajania,Irrfan Khan,Radhika Madan,Kareena Kapoor
Antervyathaa,2020,90 min,Drama,2.1,,Keshav Arya,Keshav Arya,Veena Chaudhary,Anuradha Khaira
Astounding Courage in Distress,2020,102 min,Family,7.3,33,Priyanka Singh,Mansinghms,Indu Prasad,Man Singh
Ateet,2020,120 min,Thriller,4.3,204,Tanuj Bhramar,Rajeev Khandelwal,Priyamani,Sanjay Suri
Atithi Kab Aoge Shhamshan,2020,135 min,Comedy,5.9,7,Vipin k Sethie,Manoj Bakshi,Vipin k Sethie,Avnish Pawar
Atkan Chatkan,2020,126 min,"Drama, Musical",8.2,"1,763",Shiv Hare,Lydian Nadhaswaram,Sachin Chaudhary,Tamanna Dipak
Avantika,2020,105 min,"Comedy, Horror",4.2,,Ejaz Ahmed,Ejaz Ahmed,Ejaz Ahmed,Richa Bhatt
Awasaan,2020,101 min,Drama,8.7,21,Rajat Kumar Chaturvedi,Arjun Chakrabarty,Trishala Idnani,Sarvagya Jain
Baaghi 3,2020,143 min,"Action, Comedy, Musical",2.1,"10,309",Ahmed Khan,Tiger Shroff,Riteish Deshmukh,Shraddha Kapoor
Bahut Hua Sammaan,2020,125 min,"Comedy, Crime, Drama",7.3,"3,036",Ashish R. Shukla,Sanjay Mishra,Ram Kapoor,Raghav Juyal
Bamfaad,2020,102 min,Romance,7.2,"1,533",Ranjan Chandel,Aditya Rawal,Shalini Pandey,Vijay Varma
Beautiful,2020,123 min,Drama,8.5,13,Agasthya Manju,Naina Ganguly,Parth Suri,
Before You Go-Love,2020,52 min,"Drama, Romance",2.9,,Tarun Rastogi,Shashank Shekhar Singh,Neeta Iyer,Vibhu Kaushik
Bhangra Paa Le,2020,131 min,"Comedy, Drama, Music",6,287,Sneha Taurani,Sunny Kaushal,Rukshar Dhillon,Shriya Pilgaonkar
Bhoot: Part One - The Haunted Ship,2020,114 min,"Horror, Mystery, Thriller",5.4,"4,236",Bhanu Pratap Singh,Vicky Kaushal,Ashutosh Rana,Meher Vij
Bhootaha,2020,100 min,Horror,7.7,,Rupesh Kumar Singh,Jyoti Tripathi,,
Blood Sugar,2020,81 min,Thriller,3.1,,Desparado,Ajinkya,Rajeev Bharadwaj,Baby Mahali
Bulbbul,2020,94 min,"Drama, Horror, Mystery",6.6,"10,143",Anvita Dutt,Tripti Dimri,Avinash Tiwary,Rahul Bose
Bulbule,2020,95 min,Thriller,1.7,,Manpreet Dhami,Jasmeet Singh Bhatia,Sachin K. Jaryal,
Bunker,2020,98 min,"Drama, War",6.8,82,Jugal Raja,Abhijeet Singh,Arindita Kalita,Gaurav Gupta
Bunnu K. Endo Maye,2020,99 min,"Drama, Fantasy, Mystery",9.9,,Ramchandra P.N.,Chitrra Jetliy,Vinnay Vishwaa,
Bye2,2020,48 min,"Drama, Romance",8.1,29,Tanveer Hashmi,Karan,Shreya Tyagi,
Captain Vidyut,2020,77 min,"Animation, Action, Comedy",7.7,11,Atish Tripathi,Namit Das,Trisha Kale,Suresh Menon
Chaman Bahaar,2020,111 min,"Comedy, Drama",7,"5,866",Apurva Dhar Badgaiyann,Jitendra Kumar,Ritika Badiani,Bhuvan Arora
Chhakda,2020,131 min,"Comedy, Drama",8.7,,Uttar Kumar,Uttar Kumar,Deepali Saini,Krishan Pal Bharat
Chhalaang,2020,136 min,"Comedy, Drama",6.8,"15,830",Hansal Mehta,Rajkummar Rao,Nushrat Bharucha,Mohd. Zeeshan Ayyub
Chhapaak,2020,120 min,"Biography, Drama",5.1,"25,070",Meghna Gulzar,Deepika Padukone,Vikrant Massey,Madhurjeet Sarghi
Chintu Ka Birthday,2020,80 min,"Drama, War",7.8,"4,063",Devanshu Singh,Satyanshu Singh,Vinay Pathak,Tillotama Shome
Choked,2020,114 min,Drama,5.8,"4,826",Anurag Kashyap,Saiyami Kher,Roshan Mathew,Amruta Subhash
Chote Nawab,2020,108 min,Drama,6.1,7,Kumud Chaudhary,Tulika Banerjee,Plabita Borthakur,Rajshri Deshpande
Chronicle of Space,2020,85 min,Family,5.8,19,Akshay Indikar,Neel Deshmukh,Anushree Wani,
Class of '83,2020,98 min,"Action, Crime, Drama",5.8,"5,084",Atul Sabharwal,Bobby Deol,Anup Soni,Joy Sengupta
Climax,2020,52 min,"Action, Horror, Thriller",2,228,Ram Gopal Varma,Mia Malkova,Renan Severo,
Comedy Couple,2020,117 min,"Comedy, Romance",7.7,"1,662",Nachiket Samant,Saqib Saleem,Shweta Basu Prasad,Pooja Bedi
Contact Killer,2020,112 min,Thriller,6.7,,C.L. Prasad,Zoya Afroz,Anju Asrani,Haas
Cookie,2020,104 min,Horror,6.2,191,Lalit Marathe,Nabeel Ahmed,Amit Ashar,Bhavin Bhanushali
Coolie No. 1,2020,134 min,"Action, Comedy, Romance",2.9,"56,232",David Dhawan,Varun Dhawan,Sara Ali Khan,Paresh Rawal
Court Martial,2020,120 min,Drama,6.8,179,Sourabh Shrivastava,Karwarkar Bhavika,Saksham Dayma,Rajeev Khandelwal
Cyclotron,2020,60 min,Documentary,9.4,,Jahnavi Phalkey,S.R. Bahadur,Bivash Ranjan Behera,Pritam Chand
Darbaan,2020,145 min,Drama,7.5,727,Bipin Nadkarni,Sharib Hashmi,Sharad Kelkar,Mukesh Ramani
Darbar,2020,159 min,"Action, Thriller",6.1,"5,175",A.R. Murugadoss,Rajinikanth,Nayanthara,Nivetha Thomas
Dastoor,2020,86 min,Documentary,6.0,,Niranj Menon,,,
Demons of the inner universe,2020,90 min,"Sci-Fi, Thriller",1.5,,Jha Nitesh,,,
Dev-Ansh: Son of God,2020,89 min,Thriller,4.8,,Jimpa Bhutia,Sunny Basoya,Prateek Chaturvedi,Sajal Sharma
Dhira,2020,117 min,Animation,6.5,388,Arun Kumar Rapolu,Vivek Oberoi,Vijay Sethupathi,Sai Srinivas Bellamkonda
Diary - A Life of Indian Housewife,2020,72 min,Drama,5.8,,Priya Dutta,Moumita Sanyal,,
Dil Bechara,2020,101 min,"Comedy, Drama, Romance",6.6,"117,377",Mukesh Chhabra,Sushant Singh Rajput,Sanjana Sanghi,Sahil Vaid
Director,2020,60 min,"Mystery, Romance, Thriller",6.9,,Anurag Jha,Aishwarya Bawne,Dhairya Gupta,Anurag Jha
Doordarshan,2020,119 min,"Comedy, Drama",6.2,"1,336",Gagan Puri,Manu Rishi Chadha,Mahie Gill,Dolly Ahluwalia
